Interferon Signaling	Lagging.Chromosome	batch	group
BRCA.TCGA-3C-AAAU-01A-11R-A41B-07	-0.398450405952683	55.1709040930289	1	BRCA
BRCA.TCGA-3C-AALI-01A-11R-A41B-07	-0.146886716975827	9.87064832351404	1	BRCA
BRCA.TCGA-3C-AALJ-01A-31R-A41B-07	-0.418396743336226	63.2365528459934	1	BRCA
BRCA.TCGA-3C-AALK-01A-11R-A41B-07	-0.251307100114965	20.1634872928362	1	BRCA
BRCA.TCGA-4H-AAAK-01A-12R-A41B-07	-0.137576871160882	9.26162697680896	1	BRCA
BRCA.TCGA-5L-AAT0-01A-12R-A41B-07	-0.230222164364487	17.4552038480807	1	BRCA
BRCA.TCGA-5L-AAT1-01A-12R-A41B-07	-0.0738278539178741	5.98820812666632	1	BRCA
BRCA.TCGA-5T-A9QA-01A-11R-A41B-07	-0.300549277535291	28.2395666902327	1	BRCA
BRCA.TCGA-A1-A0SB-01A-11R-A144-07	-0.413948584755674	61.341340422547	1	BRCA
BRCA.TCGA-A1-A0SD-01A-11R-A115-07	0.276571370221214	0.544884414616646	1	BRCA
BRCA.TCGA-A1-A0SE-01A-11R-A084-07	-0.267993633903608	22.6016040155927	1	BRCA
BRCA.TCGA-A1-A0SF-01A-11R-A144-07	-0.368035837056202	44.8076534391013	1	BRCA
BRCA.TCGA-A1-A0SG-01A-11R-A144-07	-0.251978140150301	20.256258113968	1	BRCA
BRCA.TCGA-A1-A0SH-01A-11R-A084-07	-0.209406844484841	15.1385820621729	1	BRCA
BRCA.TCGA-A1-A0SI-01A-11R-A144-07	0.372244480505116	0.283185803856644	1	BRCA
BRCA.TCGA-A1-A0SJ-01A-11R-A084-07	-0.29195412984315	26.6270414381764	1	BRCA
BRCA.TCGA-A1-A0SK-01A-12R-A084-07	-0.343549508317472	37.8971337436395	1	BRCA
BRCA.TCGA-A1-A0SM-01A-11R-A084-07	0.00657231204716335	3.45492000438427	1	BRCA
BRCA.TCGA-A1-A0SN-01A-11R-A144-07	0.0544991666811173	2.48916263863578	1	BRCA
BRCA.TCGA-A1-A0SO-01A-22R-A084-07	-0.228274936250725	17.2242354116683	1	BRCA
BRCA.TCGA-A1-A0SP-01A-11R-A084-07	0.0905343946439244	1.94534706812303	1	BRCA
BRCA.TCGA-A1-A0SQ-01A-21R-A144-07	-0.339652167791407	36.9001261260681	1	BRCA
BRCA.TCGA-A2-A04N-01A-11R-A115-07	-0.364677254360774	43.7899318524272	1	BRCA
BRCA.TCGA-A2-A04P-01A-31R-A034-07	0.0295407719469193	2.95257922308513	1	BRCA
BRCA.TCGA-A2-A04Q-01A-21R-A034-07	0.463623230229725	0.151564182604944	1	BRCA
BRCA.TCGA-A2-A04R-01A-41R-A109-07	-0.224713590543326	16.8096874136793	1	BRCA
BRCA.TCGA-A2-A04T-01A-21R-A034-07	0.0165519468029725	3.22693147320555	1	BRCA
BRCA.TCGA-A2-A04U-01A-11R-A115-07	-0.377619322892716	47.8435662886152	1	BRCA
BRCA.TCGA-A2-A04V-01A-21R-A034-07	-0.244203057113994	19.2070389890283	1	BRCA
BRCA.TCGA-A2-A04W-01A-31R-A115-07	-0.389371449475	51.8486736030888	1	BRCA
BRCA.TCGA-A2-A04X-01A-21R-A034-07	0.381063769667471	0.26660633666868	1	BRCA
BRCA.TCGA-A2-A04Y-01A-21R-A034-07	0.250331111619626	0.652020018199775	1	BRCA
